,nr,participant,run,direction,surface,count,dur
0,85,TWOU,ucrain,F,gaze_lm,0,9380.0
0,85,TWOU,ucrain,F,gaze_lmopt,0,9380.0
0,85,TWOU,ucrain,F,gaze_tm,0,9380.0
0,85,TWOU,ucrain,F,gaze_tmopt,166,9380.0
0,85,TWOU,ucrain,F,none,104,9380.0
0,86,TWOU,ucrain,B,total,0,
0,86,TWOU,ucrain,B,gaze_fw,0,
0,86,TWOU,ucrain,B,gaze_ic,0,
0,86,TWOU,ucrain,B,gaze_lm,0,
0,86,TWOU,ucrain,B,gaze_lmopt,0,
0,86,TWOU,ucrain,B,gaze_tm,0,
0,86,TWOU,ucrain,B,gaze_tmopt,0,
0,86,TWOU,ucrain,B,none,0,
0,87,TWOU,ucrain,B,total,953,9280.0
0,87,TWOU,ucrain,B,gaze_fw,702,9280.0
0,87,TWOU,ucrain,B,gaze_ic,0,9280.0
0,87,TWOU,ucrain,B,gaze_lm,0,9280.0
0,87,TWOU,ucrain,B,gaze_lmopt,0,9280.0
0,87,TWOU,ucrain,B,gaze_tm,0,9280.0
0,87,TWOU,ucrain,B,gaze_tmopt,44,9280.0
0,87,TWOU,ucrain,B,none,248,9280.0
0,88,TWOU,ucrain,B,total,1009,9760.0
0,88,TWOU,ucrain,B,gaze_fw,840,9760.0
0,88,TWOU,ucrain,B,gaze_ic,0,9760.0
0,88,TWOU,ucrain,B,gaze_lm,0,9760.0
0,88,TWOU,ucrain,B,gaze_lmopt,0,9760.0
0,88,TWOU,ucrain,B,gaze_tm,0,9760.0
0,88,TWOU,ucrain,B,gaze_tmopt,90,9760.0
0,88,TWOU,ucrain,B,none,151,9760.0
0,89,TWOU,ucrain,B,total,1090,10420.0
0,89,TWOU,ucrain,B,gaze_fw,637,10420.0
0,89,TWOU,ucrain,B,gaze_ic,0,10420.0
0,89,TWOU,ucrain,B,gaze_lm,0,10420.0
0,89,TWOU,ucrain,B,gaze_lmopt,0,10420.0
0,89,TWOU,ucrain,B,gaze_tm,0,10420.0
0,89,TWOU,ucrain,B,gaze_tmopt,49,10420.0
0,89,TWOU,ucrain,B,none,407,10420.0
0,72,TWOU,noucrain,F,total,854,8880.0
0,72,TWOU,noucrain,F,gaze_fw,765,8880.0
0,72,TWOU,noucrain,F,gaze_ic,0,8880.0
0,72,TWOU,noucrain,F,gaze_lm,0,8880.0
0,72,TWOU,noucrain,F,gaze_lmopt,0,8880.0
0,72,TWOU,noucrain,F,gaze_tm,0,8880.0
0,72,TWOU,noucrain,F,gaze_tmopt,135,8880.0
0,72,TWOU,noucrain,F,none,90,8880.0
0,73,TWOU,noucrain,F,total,0,
0,73,TWOU,noucrain,F,gaze_fw,0,
0,73,TWOU,noucrain,F,gaze_ic,0,
0,73,TWOU,noucrain,F,gaze_lm,0,
0,73,TWOU,noucrain,F,gaze_lmopt,0,
0,73,TWOU,noucrain,F,gaze_tm,0,
