,nr,participant,run,direction,surface,count
0,242,MVNT,uctun,BL,gaze_ic,0
0,242,MVNT,uctun,BL,gaze_lm,0
0,242,MVNT,uctun,BL,gaze_lmopt,0
0,242,MVNT,uctun,BL,gaze_tm,0
0,242,MVNT,uctun,BL,gaze_tmopt,38
0,242,MVNT,uctun,BL,none,462
0,243,MVNT,uctun,FRs,total,402
0,243,MVNT,uctun,FRs,gaze_fw,330
0,243,MVNT,uctun,FRs,gaze_ic,0
0,243,MVNT,uctun,FRs,gaze_lm,0
0,243,MVNT,uctun,FRs,gaze_lmopt,0
0,243,MVNT,uctun,FRs,gaze_tm,0
0,243,MVNT,uctun,FRs,gaze_tmopt,0
0,243,MVNT,uctun,FRs,none,72
0,244,MVNT,uctun,BR,total,952
0,244,MVNT,uctun,BR,gaze_fw,744
0,244,MVNT,uctun,BR,gaze_ic,0
0,244,MVNT,uctun,BR,gaze_lm,0
0,244,MVNT,uctun,BR,gaze_lmopt,0
0,244,MVNT,uctun,BR,gaze_tm,18
0,244,MVNT,uctun,BR,gaze_tmopt,126
0,244,MVNT,uctun,BR,none,193
0,245,MVNT,uctun,BL,total,1810
0,245,MVNT,uctun,BL,gaze_fw,1167
0,245,MVNT,uctun,BL,gaze_ic,0
0,245,MVNT,uctun,BL,gaze_lm,0
0,245,MVNT,uctun,BL,gaze_lmopt,0
0,245,MVNT,uctun,BL,gaze_tm,0
0,245,MVNT,uctun,BL,gaze_tmopt,397
0,245,MVNT,uctun,BL,none,531
